Code;Name
AED;Dirham de los Emiratos Arabes Unidos
AFN;Afghani afgano
ALL;Lek albanes
AMD;Dram armenio
ANG;Florin antillano neerlandes
AOA;Kwanza angoleno
ARS;Peso argentino
AUD;Dolar australiano
AWG;Florin arubeno
AZN;Manat azerbaiyano
BAM;Marco convertible de Bosnia y Herzegovina
BBD;Dolar de Barbados
BDT;Taka de Bangladesh
BGN;Lev bulgaro
BHD;Dinar bahreini
BIF;Franco burundes
BMD;Dolar de Bermudas
BND;Dolar de Brunei
BOB;Boliviano boliviano
BRL;Real brasileno
BSD;Dolar bahameno
BTN;Ngultrum butanes
BWP;Pula de Botsuana
BYN;Rublo bielorruso
BZD;Dolar beliceno
CAD;Dolar canadiense
CDF;Franco congoleno
CHF;Franco suizo
CLP;Peso chileno
CNY;Yuan chino
COP;Peso colombiano
CRC;Colon costarricense
CUP;Peso cubano
CVE;Escudo caboverdiano
CZK;Corona checa
DJF;Franco yibutiano
DKK;Corona danesa
DOP;Peso dominicano
DZD;Dinar argelino
EGP;Libra egipcia
ERN;Nakfa eritreo
ETB;Birr etiope
FJD;Dolar de Fiyi
FKP;Libra de las Islas Malvinas
FOK;Corona feroesa
GBP;Libra esterlina britanica
GEL;Lari georgiano
GGP;Libra de Guernsey
GHS;Cedi ghanes
GIP;Libra de Gibraltar
GMD;Dalasi gambiano
GNF;Franco guineano
GTQ;Quetzal guatemalteco
GYD;Dolar guyanes
HKD;Dolar de Hong Kong
HNL;Lempira hondureno
HRK;Kuna croata
HTG;Gourde haitiano
HUF;Florin hungaro
IDR;Rupia indonesia
ILS;Nuevo sequel israeli
IMP;Libra de la Isla de Man
INR;Rupia india
IQD;Dinar iraqui
IRR;Rial irani
ISK;Corona islandesa
JEP;Libra de Jersey
JMD;Dolar jamaicano
JOD;Dinar jordano
JPY;Yen japones
KES;Chelin keniano
KGS;Som kirguis
KHR;Riel camboyano
KID;Dolar de Kiribati
KMF;Franco comorense
KRW;Won surcoreano
KWD;Dinar kuwaiti
KYD;Dolar de las Islas Caiman
KZT;Tenge kazajo
LAK;Kip laosiano
LBP;Libra libanesa
LKR;Rupia de Sri Lanka
LRD;Dolar liberiano
LSL;Loti lesothense
LYD;Dinar libio
MAD;Dirham marroqui
MDL;Leu moldavo
MGA;Ariary malgache
MKD;Denar macedonio
MMK;Kyat de Myanmar
MNT;Tugrik mongol
MOP;Pataca de Macao
MRU;Ouguiya mauritana
MUR;Rupia mauriciana
MVR;Rufiyaa maldiva
MWK;Kwacha malaui
MXN;Peso mexicano
MYR;Ringgit malayo
MZN;Metical mozambiqueno
NAD;Dolar namibio
NGN;Naira nigeriano
NIO;Cordoba nicaraguense
NOK;Corona noruega
NPR;Rupia nepalesa
NZD;Dolar neozelandes
OMR;Rial omani
PAB;Balboa panameno
PEN;Sol peruano
PGK;Kina papua
PHP;Peso filipino
PKR;Rupia paquistani
PLN;Złoty polaco
PYG;Guarani paraguayo
QAR;Riyal qatari
RON;Leu rumano
RSD;Dinar serbio
RUB;Rublo ruso
RWF;Franco ruandes
SAR;Riyal saudi
SBD;Dolar de las Islas Salomon
SCR;Rupia de Seychelles
SDG;Libra sudanesa
SEK;Corona sueca
SGD;Dolar singapurense
SHP;Libra de Santa Elena
SLE;Leone de Sierra Leona
SLL;Leone de Sierra Leona (segunda unidad)
SOS;Chelin somali
SRD;Dolar surinames
SSP;Libra sursudanesa
STN;Dobra de Santo Tome y Principe
SYP;Libra siria
SZL;Lilangeni suazi
THB;Baht tailandes
TJS;Somoni tayiko
TMT;Manat turcomano
TND;Dinar tunecino
TOP;Pa'anga tongano
TRY;Lira turca
TTD;Dolar de Trinidad y Tobago
TVD;Dolar tuvaluano
TWD;Nuevo dolar taiwanes
TZS;Chelin tanzano
UAH;Grivna ucraniana
UGX;Chelin ugandes
USD;Dolar estadounidense
UYU;Peso uruguayo
UZS;Som uzbeko
VES;Bolivar venezolano
VND;Dong vietnamita
VUV;Vatu vanuatuense
WST;Tala samoano
XAF;Franco CFA de Africa Central
XCD;Dolar del Caribe Oriental
XDR;Derechos especiales de giro del FMI
XOF;Franco CFA de Africa Occidental
XPF;Franco CFP
YER;Rial yemeni
ZAR;Rand sudafricano
ZMW;Kwacha zambiano
ZWL;Dolar zimbabuense
